DEFINE_SPR_CELL #2, InternalDoor
DEFINE_SPR_CELL #3, Floor
DEFINE_SPR_CELL #4, Terminal
DEFINE_SPR_CELL #5, Floor
DEFINE_SPR_CELL #8, Floor
DEFINE_SPR_CELL #11, Grass
DEFINE_SPR_CELL #12, InternalDoor
DEFINE_SPR_CELL #14, Terminal
DEFINE_SPR_CELL #16, Floor
DEFINE_SPR_CELL #17, Floor
DEFINE_SPR_CELL #18, AcidPlant
DEFINE_SPR_CELL #20, Grass
DEFINE_SPR_CELL #22, InternalDoor
DEFINE_SPR_CELL #23, Table
DEFINE_SPR_CELL #24, Terminal
DEFINE_SPR_CELL #27, LogicDevice
DEFINE_SPR_CELL #28, LogicDeviceBroken
DEFINE_SPR_CELL #29, Floor
DEFINE_SPR_CELL #2B, ElectonicBox
DEFINE_SPR_CELL #2C, MetallicGrid
DEFINE_SPR_CELL #30, AcidPlant
DEFINE_SPR_CELL #33, Chair
DEFINE_SPR_CELL #35, Floor
DEFINE_SPR_CELL #36, Floor
DEFINE_SPR_CELL #3A, Floor
DEFINE_SPR_CELL #40, AcidPlant
DEFINE_SPR_CELL #43, Chair
DEFINE_SPR_CELL #4A, Floor
DEFINE_SPR_CELL #50, Sand
DEFINE_SPR_CELL #51, Table
DEFINE_SPR_CELL #53, Chair
DEFINE_SPR_CELL #63, ExternalDoor
DEFINE_SPR_CELL #64, ExternalDoor
DEFINE_SPR_CELL #AF, Keramit
